WIGOS,identifier,profile_id,Site name,country,latitude,longitude,altitude,year
0-20000-0-06610,PAYWL,A,Payerne,Switzerland,46.81369,6.942547,490,2024
0-20000-0-06620,SHAWL,A,Schaffhausen,Switzerland,47.689844,8.620125,438,2021
0-20000-0-06632,GREWL,A,Grenchen,Switzerland,47.1791,7.415025,428,2021
0-00000-0-00000,KEVWL,A,Keflavik,Iceland,-22.14,64.01,5,2024
0-40-2-001IAO,IAOWL,A,Innsbruck,Austria,47.2642,11.38521,613,2024
0-40-2-002KOL,KOLWL,A,Kolsass,Austria,47.30528,11.62222,545,2024
0-276-4-14990,AACWL,A,Aachen,Germany,50.798645,6.0241,231,2021
0-276-4-14991,FRIWL,A,Friesoythe,Germany,53.064363,7.902021,13.8,2024
0-276-4-14992,GTWWL,A,Gartow,Germany,53.065769,11.442528,86.3,2024
0-276-4-14993,KLHWL,A,Karlsruhe,Germany,49.092653,8.425597,112.5,2024
0-276-4-14989,LINWL,A,Lindenberg,Germany,52.209822,14.128653,104,2024
0-276-4-14994,OHPWL,A,Hohenpeissenberg,Germany,47.801484,11.009743,988
0-00000-0-00002,NORWL,A,Nordholz,Germany,53.777548,8.667429,19,2024
0-20008-0-CES,CABWL,A,Cabauw,Netherland,51.96834,4.92920,-0.7,2020
