identifier,profile_id,Site name,country code,latitude,longitude,observe,daily obs.
0-100-20000-0000001,A,Sofia_IEBAS,Bulgaria,42.65,23.39,1,288
0-196-0-CYPN,A,CAO-NIC,CYP,35.14,33.38,1,288
0-20000-0-00202,A,MILANO Bicocca,ITA,45.51,9.21,1,288
0-20000-0-00203,A,MESSINA,ITA,38.2,15.57,1,288
0-20000-0-01001,A,Jan Mayen,NOR,70.94,-8.67,1,288
0-20000-0-01010,A,ANDOYA,NOR,69.32,16.13,1,288
0-20000-0-01028,A,Bjørnøya,NOR,74.5,19,1,288
0-20000-0-01062,A,Hopen,NOR,76.51,25.01,1,288
0-20000-0-01311,A,FLESLAND,NOR,60.29,5.22,1,288
0-20000-0-01492,A,OSLO,NOR,59.94,10.72,1,288
0-20000-0-02055,A,Naimakka,SWE,68.68,21.52,1,288
0-20000-0-02095,A,Pajala,SWE,67.2,23.39,1,288
0-20000-0-02119,A,Kvikkjokk-Årrenjarka,SWE,66.89,18.02,1,288
0-20000-0-02126,A,Gunnarn,SWE,65.01,17.7,1,288
0-20000-0-02197,A,Haparanda,SWE,65.82,24.11,1,288
0-20000-0-02207,A,Storlien-Storvallen,SWE,63.28,12.12,1,288
0-20000-0-02236,A,Hallhåxåsen,SWE,63.77,15.33,1,288
0-20000-0-02284,A,Järnäsklubb,SWE,63.44,19.67,1,288
0-20000-0-02338,A,Edsbyn,SWE,61.36,15.71,1,288
0-20000-0-02407,A,Malung,SWE,60.68,13.71,1,288
0-20000-0-02408,A,Blomskog,SWE,59.22,12.08,1,288
0-20000-0-02431,A,Kloten_Sweden,SWE,59.87,15.25,1,288
0-20000-0-02452,A,Kilsbergen-Suttarboda,SWE,59.3,14.9,1,288
0-20000-0-02453,A,Gävle,SWE,60.72,17.16,1,288
0-20000-0-02540,A,Kroppefjäll-Granan,SWE,58.61,12.2,1,288
0-20000-0-02549,A,Tomtabacken,SWE,57.5,14.46,1,288
0-20000-0-02574,A,Norrköping-SMHI,SWE,58.58,16.15,1,288
0-20000-0-02589,A,Gotska Sandön,SWE,58.39,19.19,1,288
0-20000-0-02615,A,Falsterbo,SWE,55.38,12.82,1,288
0-20000-0-02622,A,Ljungby,SWE,56.85,13.88,1,288
0-20000-0-02623,A,Hörby,SWE,55.86,13.67,1,288
0-20000-0-02679,A,Hoburg,SWE,56.92,18.15,1,288
0-20000-0-02998,A,HELSINKI,FIN,60.2,24.96,1,288
0-20000-0-03005,A,LERWICK,GBR,60.13,-1.18,1,96
0-20000-0-03005,B,LERWICK,GBR,60.13,-1.18,1,24
0-20000-0-03018,A,STORNOWAY,GBR,58.21,-6.19,1,96
0-20000-0-03023,A,SOUTH_UIST,GBR,57.35,-7.38,1,96
0-20000-0-03068,A,LOSSIEMOUTH,GBR,57.72,-3.32,1,24
0-20000-0-03162,A,ESKDALEMUIR,GBR,55.32,-3.2,1,96
0-20000-0-03162,B,ESKDALEMUIR,GBR,55.32,-3.2,1,24
0-20000-0-03171,A,LEUCHARS,GBR,56.38,-2.87,1,24
0-20000-0-03257,A,LEEMING,GBR,54.3,-1.53,1,24
0-20000-0-03302,A,VALLEY,GBR,53.25,-4.53,1,24
0-20000-0-03354,B,NOTTINGHAM,GBR,53.01,-1.25,1,96
0-20000-0-03354,A,NOTTINGHAM,GBR,53,-1.25,1,24
0-20000-0-03377,A,WADDINGTON,GBR,53.17,-0.52,1,24
0-20000-0-03379,A,CRANWELL,GBR,53.03,-0.5,1,24
0-20000-0-03391,A,CONINGSBY,GBR,53.08,-0.17,1,96
0-20000-0-03391,B,CONINGSBY,GBR,53.08,-0.17,1,24
0-20000-0-03414,A,SHAWBURY,GBR,52.8,-2.67,1,24
0-20000-0-03462,A,WITTERING,GBR,52.62,-0.48,1,24
0-20000-0-03482,A,MARHAM,GBR,52.65,0.57,1,24
0-20000-0-03502,A,ABERPORTH,GBR,52.14,-4.57,1,96
0-20000-0-03502,B,ABERPORTH,GBR,52.14,-4.57,1,24
0-20000-0-03590,A,WATTISHAM,GBR,52.12,0.97,1,96
0-20000-0-03590,B,WATTISHAM,GBR,52.12,0.97,1,24
0-20000-0-03649,A,BRIZE_NORTON,GBR,51.76,-1.58,1,24
0-20000-0-03658,A,BENSON,GBR,51.62,-1.08,1,24
0-20000-0-03672,A,NORTHOLT,GBR,51.55,-0.42,1,24
0-20000-0-03743,A,LARKHILL,GBR,51.2,-1.8,1,24
0-20000-0-03746,A,BOSCOMBE_DOWN,GBR,51.17,-1.75,1,24
0-20000-0-03749,A,MIDDLE_WALLOP,GBR,51.15,-1.57,1,24
0-20000-0-03761,A,ODIHAM,GBR,51.23,-0.95,1,24
0-20000-0-03808,A,CAMBORNE,GBR,50.21,-5.32,1,96
0-20000-0-03808,B,CAMBORNE,GBR,50.21,-5.32,1,24
0-20000-0-03809,A,CULDROSE,GBR,50.08,-5.26,1,24
0-20000-0-03838,A,EXETER,GBR,50.73,-3.48,1,96
0-20000-0-03838,B,EXETER,GBR,50.73,-3.48,1,24
0-20000-0-03853,A,YEOVILTON,GBR,51,-2.63,1,24
0-20000-0-03917,A,ALDERGROVE,GBR,54.65,-6.22,1,96
0-20000-0-03917,B,ALDERGROVE,GBR,54.65,-6.22,1,24
0-20000-0-03955,A,CORK,IRL,51.85,-8.48,1,24
0-20000-0-03962,A,SHANNON,IRL,52.7,-8.92,1,24
0-20000-0-03967,A,CASEMENT,IRL,53.3,-6.43,1,24
0-20000-0-03969,A,DUBLIN,IRL,53.43,-6.25,1,24
0-20000-0-03973,A,KNOCK,IRL,53.91,-8.82,1,24
0-20000-0-04005,A,Bolungarvik,IRL,66.16,-23.25,1,144
0-20000-0-04038,A,Eyrarbakki,IRL,63.87,-21.16,1,144
0-20000-0-04042,A,Hjardarland,IRL,64.25,-20.33,1,144
0-20000-0-04064,A,Kirkjubaejarlaustur,IRL,63.79,-18.01,1,144
0-20000-0-04071,A,Manarbakki,IRL,66.2,-17.1,1,144
0-20000-0-04082,A,Hofn,IRL,64.27,-15.21,1,144
0-20000-0-04938,A,Onundarhorn,IRL,63.52,-19.64,1,144
0-20000-0-04953,A,Saudarkrokur,IRL,65.73,-19.57,1,144
0-20000-0-06215,A,Voorschoten,NLD,52.14,4.44,1,288
0-20000-0-06235,A,DE_KOOY,NLD,52.92,4.78,1,288
0-20000-0-06240,D,Amsterdam_AP_Schiphol,NLD,52.34,4.74,1,288
0-20000-0-06240,A,Amsterdam_AP_Schiphol,NLD,52.32,4.8,1,288
0-20000-0-06240,B,Amsterdam_AP_Schiphol,NLD,52.29,4.73,1,288
0-20000-0-06240,C,Amsterdam_AP_Schiphol,NLD,52.37,4.71,1,288
0-20000-0-06242,A,Vlieland,NLD,53.25,4.94,1,288
0-20000-0-06260,A,DEBILT,NLD,52.1,5.18,1,288
0-20000-0-06267,A,Stavoren,NLD,52.9,5.38,1,288
0-20000-0-06269,A,Lelystad_AP,NLD,52.45,5.51,1,288
0-20000-0-06270,A,Leeuwarden,NLD,53.22,5.76,1,288
0-20000-0-06275,A,Deelen,NLD,52.05,5.87,1,288
0-20000-0-06279,A,Hoogeveen,NLD,52.75,6.57,1,288
0-20000-0-06280,A,GRONINGEN_AP_EELDE,NLD,53.11,6.56,1,288
0-20000-0-06290,A,Twenthe,NLD,52.27,6.89,1,288
0-20000-0-06310,A,VLISSINGEN,NLD,51.44,3.6,1,288
0-20000-0-06340,A,Woensdrecht,NLD,51.45,4.34,1,288
0-20000-0-06344,A,Rotterdam_The_Hague_AP,NLD,51.96,4.44,1,288
0-20000-0-06348,A,CABAUW,NLD,51.97,4.93,1,288
0-20000-0-06350,A,Gilze_Rijen,NLD,51.56,4.94,1,288
0-20000-0-06370,A,Eindhoven_AP,NLD,51.45,5.38,1,288
0-20000-0-06375,A,Volkel,NLD,51.66,5.71,1,288
0-20000-0-06377,A,Ell,NLD,51.2,5.76,1,288
0-20000-0-06380,A,Maastricht_Aachen_AP,NLD,50.91,5.76,1,288
0-20000-0-06400,A,Koksijde,BEL,51.09,2.65,1,144
0-20000-0-06418,A,ZEEBRUGGE,BEL,51.35,3.2,1,24
0-20000-0-06428,A,Semmerzake,BEL,50.94,3.67,1,144
0-20000-0-06432,A,Chievres,BEL,50.57,3.83,1,144
0-20000-0-06447,A,UCCLE,BEL,50.8,4.36,1,24
0-20000-0-06456,A,Florennes,BEL,50.23,4.65,1,144
0-20000-0-06458,A,Beauvechain,BEL,50.75,4.76,1,144
0-20000-0-06465,A,Schaffen,BEL,51,5.06,1,144
0-20000-0-06472,A,HUMAINE,BEL,50.19,5.26,1,24
0-20000-0-06477,A,DIEPENBEEK,BEL,50.92,5.45,1,24
0-20000-0-06479,A,Kleine Brogel,BEL,51.17,5.46,1,144
0-20000-0-06496,A,Elsenborn,BEL,50.48,6.18,1,144
0-20000-0-06602,A,Delemont,CHE,47.35,7.35,1,144
0-20000-0-06604,A,Neuchatel,CHE,47,6.95,1,144
0-20000-0-06610,A,PAYERNE,CHE,46.81,6.94,1,288
0-20000-0-06610,B,Payerne,CHE,46.81,6.94,1,144
0-20000-0-06618,A,Mathod,CHE,46.74,6.57,1,144
0-20000-0-06620,A,Schaffhausen,CHE,47.69,8.62,1,144
0-20000-0-06623,A,Salen-Reutenen,CHE,47.65,9.02,1,144
0-20000-0-06628,A,Plaffeien,CHE,46.75,7.27,1,144
0-20000-0-06630,A,Bern-Belpmoos,CHE,46.91,7.51,1,144
0-20000-0-06632,A,Grenchen,CHE,47.18,7.41,1,144
0-20000-0-06633,A,Buchs-Aarau,CHE,47.38,8.08,1,144
0-20000-0-06638,A,Langnau,CHE,46.94,7.81,1,144
0-20000-0-06641,A,Mohlin,CHE,47.57,7.88,1,144
0-20000-0-06643,A,Wynau,CHE,47.26,7.79,1,144
0-20000-0-06662,A,Sattel-Aegeri,CHE,47.08,8.64,1,144
0-20000-0-06666,A,Leibstadt,CHE,47.6,8.19,1,144
0-20000-0-06670,A,Kloten,CHE,47.46,8.55,1,144
0-20000-0-06672,A,Altdorf,CHE,46.89,8.62,1,144
0-20000-0-06679,A,Tanikon,CHE,47.48,8.91,1,144
0-20000-0-06685,A,Glarus,CHE,47.04,9.07,1,144
0-20000-0-06693,A,Ebnat Kappel,CHE,47.27,9.11,1,144
0-20000-0-06695,A,Andermatt,CHE,46.63,8.58,1,144
0-20000-0-06700,A,Geneve-Cointrin,CHE,46.25,6.13,1,144
0-20000-0-06703,A,Charbonnieres,CHE,46.67,6.31,1,144
0-20000-0-06727,A,Visp,CHE,46.3,7.84,1,144
