institution,GTS_L1,GTS_L2
DWD,IUXX02 EUOP,IUXX32 EUOP
EVORA_UNIVERSITY,IUXX10 EUOP,IUXX40 EUOP
ARPA VENETO,IUXX04 EUOP,IUXX34 EUOP
METEOSWISS,IUXX01 EUOP,IUXX31 EUOP
INOE2000,IUXX03 EUOP,IUXX33 EUOP
AEMET,IUXX08 EUOP,IUXX38 EUOP
Cologne University,IUXX06 EUOP,IUXX36 EUOP
DLR,IUXX14 EUOP,IUXX44 EUOP
LISA/IPSL,IUXX09 EUOP,IUXX39 EUOP
SIRTA,IUXX09 EUOP,IUXX39 EUOP
CHMI,IUXX13 EUOP,IUXX43 EUOP
LILLE_UNIVERSITY,IUXX07 EUOP,IUXX37 EUOP
MeteoFrance,IUXX05 EUOP,IUXX35 EUOP
BERLIN_UNIVERSITY,IUXX11 EUOP,IUXX41 EUOP
